Year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
 2016,60400,60000,53200,53000,53100,52700,62800,60800,65600,75800,58700
 2017,61900,56900,52200,52600,54200,53800,64500,61800,65600,75300,63000
 2018,62100,59000,56200,52800,54800,53700,66200,61300,64500,76400,60900
 2019,62400,55900,57200,53300,54800,55400,65100,60600,64400,74400,63000
 2020,66800,59300,59400,57500,56900,59700,70100,63000,67700,77700,67500
