"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Bonds (saving and other)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527111","1.9.1.1.1.1","22806","E","","","0"
"2005","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527237","1.10.1.1.1.1","","..","","","0"
"2012","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527237","1.10.1.1.1.1","73687","","","","0"
"2016","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527237","1.10.1.1.1.1","173690","","","","0"
"2005","Canada","2016A000011124","Other financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527363","1.11.1.1.1.1","96380","","","","0"
"2012","Canada","2016A000011124","Other financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527363","1.11.1.1.1.1","188389","","","","0"
"2016","Canada","2016A000011124","Other financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527363","1.11.1.1.1.1","254051","","","","0"
"2005","Canada","2016A000011124","Non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527489","1.12.1.1.1.1","3579680","","","","0"
"2012","Canada","2016A000011124","Non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527489","1.12.1.1.1.1","5302078","","","","0"
"2016","Canada","2016A000011124","Non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527489","1.12.1.1.1.1","6556253","","","","0"
"2005","Canada","2016A000011124","Real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940436","1.28.1.1.1.1","3000242","","","","0"
"2012","Canada","2016A000011124","Real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940436","1.28.1.1.1.1","4677905","","","","0"
"2016","Canada","2016A000011124","Real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940436","1.28.1.1.1.1","5864964","","","","0"
"2005","Canada","2016A000011124","Principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527615","1.13.1.1.1.1","2389096","","","","0"
"2012","Canada","2016A000011124","Principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527615","1.13.1.1.1.1","3636659","","","","0"
"2016","Canada","2016A000011124","Principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527615","1.13.1.1.1.1","4591533","","","","0"
"2005","Canada","2016A000011124","Other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527741","1.14.1.1.1.1","611146","","","","0"
"2012","Canada","2016A000011124","Other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527741","1.14.1.1.1.1","1041246","","","","0"
"2016","Canada","2016A000011124","Other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527741","1.14.1.1.1.1","1273431","","","","0"
"2005","Canada","2016A000011124","Vehicles and other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940814","1.29.1.1.1.1","579437","","","","0"
"2012","Canada","2016A000011124","Vehicles and other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940814","1.29.1.1.1.1","624173","","","","0"
"2016","Canada","2016A000011124","Vehicles and other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230940814","1.29.1.1.1.1","691289","","","","0"
"2005","Canada","2016A000011124","Vehicles","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527867","1.15.1.1.1.1","217607","","","","0"
"2012","Canada","2016A000011124","Vehicles","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527867","1.15.1.1.1.1","274369","","","","0"
"2016","Canada","2016A000011124","Vehicles","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527867","1.15.1.1.1.1","315591","","","","0"
"2005","Canada","2016A000011124","Other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527993","1.16.1.1.1.1","361831","","","","0"
"2012","Canada","2016A000011124","Other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527993","1.16.1.1.1.1","349803","","","","0"
"2016","Canada","2016A000011124","Other non-financial assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80527993","1.16.1.1.1.1","375698","","","","0"
"2005","Canada","2016A000011124","Equity in business","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528119","1.17.1.1.1.1","749686","","","","0"
"2012","Canada","2016A000011124","Equity in business","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528119","1.17.1.1.1.1","881885","","","","0"
"2016","Canada","2016A000011124","Equity in business","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528119","1.17.1.1.1.1","1004365","","","","0"
"2005","Canada","2016A000011124","Total debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528245","1.18.1.1.1.1","966220","","","","0"
"2012","Canada","2016A000011124","Total debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528245","1.18.1.1.1.1","1494180","","","","0"
"2016","Canada","2016A000011124","Total debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528245","1.18.1.1.1.1","1858926","","","","0"
"2005","Canada","2016A000011124","Mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528371","1.19.1.1.1.1","727215","","","","0"
"2012","Canada","2016A000011124","Mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528371","1.19.1.1.1.1","1150815","","","","0"
"2016","Canada","2016A000011124","Mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528371","1.19.1.1.1.1","1500411","","","","0"
"2005","Canada","2016A000011124","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528497","1.20.1.1.1.1","617810","","","","0"
"2012","Canada","2016A000011124","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528497","1.20.1.1.1.1","917480","","","","0"
"2016","Canada","2016A000011124","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528497","1.20.1.1.1.1","1182923","","","","0"
"2005","Canada","2016A000011124","Mortgage on other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528623","1.21.1.1.1.1","109405","","","","0"
"2012","Canada","2016A000011124","Mortgage on other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528623","1.21.1.1.1.1","233335","","","","0"
"2016","Canada","2016A000011124","Mortgage on other real estate","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528623","1.21.1.1.1.1","317488","","","","0"
"2005","Canada","2016A000011124","Non-mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230941192","1.30.1.1.1.1","239005","","","","0"
"2012","Canada","2016A000011124","Non-mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230941192","1.30.1.1.1.1","343364","","","","0"
"2016","Canada","2016A000011124","Non-mortgage debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v1230941192","1.30.1.1.1.1","358515","","","","0"
"2005","Canada","2016A000011124","Line of credit","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528749","1.22.1.1.1.1","86597","","","","0"
"2012","Canada","2016A000011124","Line of credit","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528749","1.22.1.1.1.1","161978","","","","0"
"2016","Canada","2016A000011124","Line of credit","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528749","1.22.1.1.1.1","150610","","","","0"
"2005","Canada","2016A000011124","Credit card and installment debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528875","1.23.1.1.1.1","32761","","","","0"
"2012","Canada","2016A000011124","Credit card and installment debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528875","1.23.1.1.1.1","39471","","","","0"
"2016","Canada","2016A000011124","Credit card and installment debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80528875","1.23.1.1.1.1","41356","","","","0"
"2005","Canada","2016A000011124","Student loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529001","1.24.1.1.1.1","25388","","","","0"
"2012","Canada","2016A000011124","Student loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529001","1.24.1.1.1.1","31594","","","","0"
"2016","Canada","2016A000011124","Student loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529001","1.24.1.1.1.1","39082","","","","0"
"2005","Canada","2016A000011124","Vehicle loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529127","1.25.1.1.1.1","58600","","","","0"
"2012","Canada","2016A000011124","Vehicle loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529127","1.25.1.1.1.1","84722","","","","0"
"2016","Canada","2016A000011124","Vehicle loans","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529127","1.25.1.1.1.1","102720","","","","0"
"2005","Canada","2016A000011124","Other debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529253","1.26.1.1.1.1","35659","","","","0"
"2012","Canada","2016A000011124","Other debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529253","1.26.1.1.1.1","25600","","","","0"
"2016","Canada","2016A000011124","Other debt","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529253","1.26.1.1.1.1","24747","","","","0"
"2005","Canada","2016A000011124","Net worth (total assets less total debt)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529379","1.27.1.1.1.1","6180356","","","","0"
"2012","Canada","2016A000011124","Net worth (total assets less total debt)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529379","1.27.1.1.1.1","9022248","","","","0"
"2016","Canada","2016A000011124","Net worth (total assets less total debt)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80529379","1.27.1.1.1.1","10880572","","","","0"


