M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
04-Nov,"341,379","206,796","42,830",0,"35,585","94,369","22,492","18,159","15,853","134,583","8,458","123,436","38,492",298,"41,859","42,787","2,689","571,533","566,203","342,108","224,095",332,"218,407","76,239","6,950","87,943","72,551","47,275","5,356","5,330","1,096","4,234",167,"3,523",687,5,598,"2,233",544,"912,912","644,586","566,203","342,108","224,095","5,330","1,096","4,234","73,053","71,877","1,176"
04-Dec,"345,828","210,800","43,106",0,"37,417","96,057","22,909","18,274","15,946","135,028","8,672","123,651","38,426",299,"42,450","42,476","2,705","574,400","569,069","341,321","227,748",333,"222,046","76,502","6,902","91,128","75,236","47,514","5,369","5,331","1,085","4,246",167,"3,532",689,5,601,"2,237",547,"920,228","648,733","569,069","341,321","227,748","5,331","1,085","4,246","74,333","73,148","1,185"
05-Jan,"349,507","211,253","41,874",0,"37,530","96,843","22,725","18,957","16,049","138,254","8,653","126,886","38,486",384,"43,209","44,807","2,715","576,699","571,323","340,991","230,332",334,"224,573","76,602","7,187","93,586","77,460","47,198","5,425","5,376","1,089","4,287",166,"3,577",692,6,607,"2,272",544,"926,206","652,000","571,323","340,991","230,332","5,376","1,089","4,287","75,301","74,118","1,183"
05-Feb,"353,246","211,832","41,979",0,"36,331","98,357","22,700","19,002","16,163","141,414","8,636","130,055","38,917",332,"43,895","46,911","2,723","578,236","572,798","342,903","229,895",334,"224,084","76,627","7,252","93,291","77,318","46,914","5,477","5,438","1,106","4,332",167,"3,623",698,6,614,"2,305",542,"931,482","655,118","572,798","342,903","229,895","5,438","1,106","4,332","76,882","75,657","1,225"
05-Mar,"358,925","214,334","42,395",0,"35,528","100,473","22,796","19,513","16,425","144,591","8,617","133,241","39,071",273,"44,655","49,242","2,733","580,423","574,914","342,663","232,251",335,"226,383","77,092","7,319","95,374","79,232","46,598","5,533","5,509","1,130","4,379",168,"3,672",705,7,620,"2,340",539,"939,348","659,404","574,914","342,663","232,251","5,509","1,130","4,379","78,981","77,677","1,304"
05-Apr,"361,264","214,934","42,752",0,"35,586","100,582","22,872","19,623","16,391","146,330","8,807","134,773","39,222",276,"45,980","49,295","2,750","584,879","579,353","344,352","235,001",342,"229,096","77,601","7,409","97,450","81,085","46,636","5,563","5,526","1,116","4,410",174,"3,701",714,7,631,"2,349",535,"946,143","663,858","579,353","344,352","235,001","5,526","1,116","4,410","78,979","77,710","1,269"
05-May,"364,425","216,662","42,865",0,"35,170","102,561","23,374","19,623","16,443","147,763","9,002","135,994","39,018",280,"47,347","49,349","2,767","590,953","585,418","349,191","236,227",349,"230,283","78,772","7,501","97,336","81,028","46,674","5,595","5,535","1,095","4,440",177,"3,731",727,6,641,"2,357",532,"955,378","671,485","585,418","349,191","236,227","5,535","1,095","4,440","80,532","79,187","1,345"
05-Jun,"369,281","219,821","43,087",0,"35,713","104,560","23,883","19,861","16,600","149,460","9,192","137,484","39,129",284,"48,669","49,402","2,784","597,735","592,123","352,514","239,609",358,"233,626","80,085","7,647","99,182","82,666","46,712","5,625","5,612","1,138","4,474",180,"3,766",742,6,652,"2,366",528,"967,016","679,835","592,123","352,514","239,609","5,612","1,138","4,474","82,100","80,677","1,423"
05-Jul,"371,032","220,384","41,631",0,"35,742","106,591","24,252","19,905","16,515","150,648","9,421","138,420","39,327",321,"48,325","50,447","2,807","605,129","599,482","356,211","243,271",362,"237,285","80,903","7,821","101,535","84,678","47,026","5,624","5,647","1,152","4,495",181,"3,791",752,6,656,"2,377",523,"976,161","688,940","599,482","356,211","243,271","5,647","1,152","4,495","83,811","82,339","1,472"
05-Aug,"374,773","222,642","41,742",0,"36,140","108,220","24,525","19,985","16,555","152,131","9,651","139,651","39,871",311,"47,977","51,492","2,829","610,787","605,109","359,864","245,245",365,"239,258","81,648","7,909","102,361","85,369","47,340","5,622","5,678","1,162","4,516",183,"3,814",760,7,659,"2,388",519,"985,560","695,979","605,109","359,864","245,245","5,678","1,162","4,516","85,192","83,695","1,497"
05-Sep,"378,655","225,503","41,715",0,"36,963","110,200","24,874","19,989","16,636","153,152","9,873","140,428","39,963",342,"47,619","52,504","2,851","616,647","610,899","359,662","251,237",368,"245,248","82,469","7,854","107,281","89,626","47,644","5,621","5,748","1,213","4,535",185,"3,836",770,7,661,"2,398",514,"995,302","703,516","610,899","359,662","251,237","5,748","1,213","4,535","86,869","85,326","1,543"
05-Oct,"380,575","226,205","41,569",0,"36,031","111,962","25,289","20,002","16,641","154,370","10,132","141,359","40,066",361,"48,072","52,860","2,879","622,189","616,455","359,975","256,480",372,"250,523","83,390","7,812","111,463","93,290","47,858","5,585","5,734","1,176","4,558",187,"3,862",775,7,677,"2,403",509,"1,002,764","710,467","616,455","359,975","256,480","5,734","1,176","4,558","88,278","86,673","1,605"
05-Nov,"382,421","226,811","41,423",0,"35,609","113,088","25,560","20,052","16,639","155,610","10,383","142,320","40,219",392,"48,504","53,205","2,907","627,117","621,389","363,953","257,436",375,"251,511","84,208","7,794","111,445","93,295","48,064","5,550","5,728","1,146","4,582",188,"3,891",785,7,692,"2,407",503,"1,009,538","716,275","621,389","363,953","257,436","5,728","1,146","4,582","89,158","87,528","1,630"
05-Dec,"386,207","229,469","41,090",0,"37,201","114,370","25,866","20,021","16,787","156,738","10,642","143,161","40,238",411,"48,951","53,561","2,935","630,965","625,176","363,912","261,264",378,"255,372","84,663","7,985","114,446","95,945","48,278","5,514","5,789","1,178","4,611",190,"3,923",796,7,708,"2,412",498,"1,017,172","721,132","625,176","363,912","261,264","5,789","1,178","4,611","90,167","88,504","1,663"
06-Jan,"387,657","229,564","40,645",0,"36,724","115,297","26,091","20,097","16,801","158,093","10,675","144,462","40,262",409,"50,167","53,624","2,956","634,567","628,731","364,117","264,614",381,"258,798","84,927","7,749","117,889","99,013","48,233","5,435","5,836","1,185","4,651",191,"3,965",803,7,724,"2,431",495,"1,022,224","725,457","628,731","364,117","264,614","5,836","1,185","4,651","90,890","89,206","1,684"
06-Feb,"388,386","228,659","40,589",0,"34,849","116,474","26,372","20,004","16,743","159,727","10,706","146,045","40,699",406,"51,258","53,682","2,976","638,105","632,217","367,315","264,902",385,"259,153","85,289","7,466","118,207","99,351","48,191","5,364","5,888","1,197","4,691",193,"4,005",810,8,740,"2,447",493,"1,026,491","729,932","632,217","367,315","264,902","5,888","1,197","4,691","91,827","90,102","1,725"
06-Mar,"392,233","231,094","40,898",0,"34,833","117,785","26,841","20,650","16,928","161,139","10,739","147,403","40,779",410,"52,469","53,745","2,997","642,190","636,253","368,594","267,659",388,"261,986","85,727","7,122","120,991","101,852","48,146","5,285","5,937","1,199","4,738",195,"4,053",822,8,757,"2,466",490,"1,034,423","734,959","636,253","368,594","267,659","5,937","1,199","4,738","92,769","90,944","1,825"
06-Apr,"394,922","233,220","40,945",0,"35,430","118,772","27,082","20,790","17,283","161,702","10,959","147,671","40,846",436,"52,062","54,327","3,072","648,347","642,383","371,178","271,205",398,"265,499","86,493","7,195","123,415","103,780","48,396","5,308","5,964","1,184","4,780",203,"4,087",828,8,784,"2,467",490,"1,043,269","741,906","642,383","371,178","271,205","5,964","1,184","4,780","93,559","91,690","1,869"
06-May,"400,167","237,706","41,098",0,"36,642","120,493","27,491","21,655","17,818","162,461","11,186","148,125","41,090",461,"51,646","54,928","3,150","652,434","646,434","374,893","271,541",413,"265,796","87,513","7,287","122,341","102,598","48,655","5,332","6,000","1,179","4,821",209,"4,121",833,8,811,"2,469",491,"1,052,601","747,406","646,434","374,893","271,541","6,000","1,179","4,821","94,972","93,002","1,970"
06-Jun,"403,858","240,968","41,308",0,"37,548","122,033","27,858","21,811","18,268","162,890","11,406","148,259","41,021",487,"51,241","55,510","3,225","657,871","651,814","376,507","275,307",428,"269,524","88,894","7,205","124,520","104,251","48,905","5,355","6,057","1,188","4,869",215,"4,163",846,8,839,"2,470",491,"1,061,729","754,096","651,814","376,507","275,307","6,057","1,188","4,869","96,225","94,175","2,050"
06-Jul,"407,555","242,756","41,513",0,"37,546","123,760","28,320","21,478","18,459","164,799","11,564","149,936","41,469",420,"51,553","56,494","3,299","665,705","659,633","379,984","279,649",431,"273,826","89,566","7,286","127,795","107,167","49,179","5,392","6,072","1,177","4,895",215,"4,188",857,8,846,"2,477",492,"1,073,260","763,274","659,633","379,984","279,649","6,072","1,177","4,895","97,569","95,440","2,129"
06-Aug,"411,857","244,801","41,515",0,"38,796","124,775","28,622","21,043","18,672","167,056","11,723","151,960","42,167",448,"51,866","57,479","3,373","669,597","663,481","382,792","280,689",432,"274,828","89,916","7,306","128,154","107,552","49,452","5,429","6,116","1,193","4,923",217,"4,213",868,9,853,"2,483",493,"1,081,454","767,933","663,481","382,792","280,689","6,116","1,193","4,923","98,336","96,153","2,183"
06-Sep,"417,332","248,144","41,540",0,"39,900","126,696","29,131","21,024","18,984","169,188","11,876","153,868","42,717",549,"52,171","58,431","3,444","675,728","669,590","385,137","284,453",433,"278,555","90,614","7,439","130,785","109,927","49,717","5,465","6,138","1,189","4,949",218,"4,237",878,9,860,"2,490",494,"1,093,060","775,580","669,590","385,137","284,453","6,138","1,189","4,949","99,852","97,565","2,287"
06-Oct,"419,048","247,001","41,556",0,"39,819","125,804","28,954","20,678","19,144","172,047","12,057","156,487","42,937",606,"54,017","58,927","3,503","683,034","676,854","388,129","288,725",437,"282,796","90,957","7,542","134,312","113,038","49,985","5,492","6,180","1,185","4,995",220,"4,281",889,9,898,"2,485",494,"1,102,082","782,188","676,854","388,129","288,725","6,180","1,185","4,995","99,154","96,850","2,304"
06-Nov,"421,834","247,250","41,231",0,"38,883","126,704","29,185","21,022","19,410","174,584","12,233","158,790","42,978",597,"55,807","59,408","3,561","689,789","683,564","392,219","291,345",440,"285,388","91,868","7,620","135,656","114,234","50,244","5,517","6,225","1,182","5,043",222,"4,326",900,9,936,"2,481",495,"1,111,623","789,729","683,564","392,219","291,345","6,225","1,182","5,043","99,940","97,519","2,421"
06-Dec,"427,067","249,682","41,071",0,"40,185","127,549","29,402","21,026","19,851","177,385","12,414","161,351","43,154",634,"57,659","59,904","3,620","696,325","690,066","393,051","297,015",444,"291,027","92,092","7,547","140,876","118,840","50,512","5,544","6,259","1,182","5,077",223,"4,359",898,9,976,"2,476",495,"1,123,392","797,004","690,066","393,051","297,015","6,259","1,182","5,077","100,679","98,147","2,532"
07-Jan,"428,585","250,034","40,901",0,"40,281","127,909","29,435","21,125","19,818","178,551","12,355","162,502","43,066",612,"58,233","60,591","3,694","701,961","695,604","392,969","302,635",447,"296,608","92,599","7,550","144,653","122,061","51,806","5,580","6,357","1,211","5,146",222,"4,418",917,10,987,"2,504",506,"1,130,546","802,958","695,604","392,969","302,635","6,357","1,211","5,146","100,997","98,474","2,523"
07-Feb,"429,805","249,799","40,984",0,"38,883","128,992","29,636","21,201","19,739","180,006","12,301","163,944","43,356",610,"58,766","61,212","3,761","707,981","701,575","397,853","303,722",449,"297,660","92,920","7,664","144,100","121,474","52,976","5,613","6,406","1,209","5,197",224,"4,457",921,10,998,"2,528",516,"1,137,786","809,908","701,575","397,853","303,722","6,406","1,209","5,197","101,927","99,356","2,571"
07-Mar,"434,868","253,843","41,217",0,"39,418","131,232","30,096","21,979","19,997","181,025","12,242","164,948","43,124",581,"59,344","61,899","3,835","713,905","707,403","400,457","306,946",452,"300,845","93,417","7,675","145,483","122,588","54,270","5,649","6,502","1,243","5,259",227,"4,505",929,11,"1,009","2,556",527,"1,148,773","817,730","707,403","400,457","306,946","6,502","1,243","5,259","103,825","101,136","2,689"
07-Apr,"438,587","255,780","41,491",0,"40,224","132,262","30,464","21,873","19,930","182,807","12,373","166,587","43,611",570,"59,771","62,635","3,847","722,917","716,405","406,471","309,934",437,"303,779","94,063","7,925","147,257","124,054","54,534","5,718","6,512","1,226","5,286",221,"4,526",930,11,"1,036","2,549",539,"1,161,504","827,451","716,405","406,471","309,934","6,512","1,226","5,286","104,534","101,798","2,736"
07-May,"445,078","260,211","41,964",0,"41,725","134,153","31,031","22,316","20,053","184,867","12,509","168,500","44,326",565,"60,212","63,397","3,858","730,617","724,047","413,261","310,786",423,"304,573","95,349","8,078","146,338","123,141","54,808","5,790","6,570","1,251","5,319",213,"4,555",939,11,"1,064","2,541",551,"1,175,695","836,585","724,047","413,261","310,786","6,570","1,251","5,319","105,968","103,122","2,846"
07-Jun,"450,258","263,761","42,574",0,"42,686","136,105","31,615","22,298","20,098","186,497","12,640","169,987","44,651",565,"60,638","64,133","3,870","741,444","734,820","418,194","316,626",410,"310,357","96,646","8,169","150,470","126,653","55,072","5,859","6,624","1,264","5,360",206,"4,591",954,11,"1,092","2,534",563,"1,191,702","848,876","734,820","418,194","316,626","6,624","1,264","5,360","107,432","104,490","2,942"
07-Jul,"454,097","266,456","43,019",0,"42,965","137,656","31,968","22,659","20,157","187,641","12,785","170,854","44,857",568,"61,001","64,428","4,002","752,828","746,165","423,849","322,316",408,"315,968","97,487","8,500","154,765","131,394","55,216","5,940","6,663","1,269","5,394",205,"4,614",966,12,"1,100","2,536",575,"1,206,925","861,518","746,165","423,849","322,316","6,663","1,269","5,394","108,690","105,688","3,002"
07-Aug,"457,558","268,679","43,372",0,"43,461","138,951","32,260","22,716","20,179","188,879","12,930","171,815","45,159",572,"61,361","64,723","4,134","761,485","754,810","427,479","327,331",406,"320,905","98,627","8,430","158,488","135,679","55,360","6,020","6,675","1,250","5,425",203,"4,635",977,12,"1,107","2,539",587,"1,219,043","871,247","754,810","427,479","327,331","6,675","1,250","5,425","109,762","106,691","3,071"
07-Sep,"461,503","271,410","43,561",0,"44,589","140,701","32,645","22,324","20,235","190,093","13,071","172,761","45,447",603,"61,703","65,008","4,261","769,041","762,315","423,003","339,312",403,"332,811","99,281","8,432","169,599","146,673","55,499","6,098","6,726","1,271","5,455",202,"4,654",985,13,"1,115","2,541",599,"1,230,544","880,261","762,315","423,003","339,312","6,726","1,271","5,455","111,220","108,056","3,164"
07-Oct,"464,279","274,758","43,812",0,"45,639","142,054","32,770","22,827","20,426","189,521","13,238","172,004","45,707",534,"60,603","65,160","4,279","779,359","772,576","425,155","347,421",400,"340,901","100,006","8,536","176,668","153,722","55,691","6,120","6,783","1,308","5,475",200,"4,665",992,13,"1,110","2,550",610,"1,243,638","891,901","772,576","425,155","347,421","6,783","1,308","5,475","112,542","109,284","3,258"
07-Nov,"465,939","277,268","43,740",0,"46,473","143,375","32,887","23,129","20,551","188,671","13,401","170,973","45,662",463,"59,540","65,308","4,297","785,727","778,907","430,568","348,339",397,"341,801","100,754","8,945","176,225","153,989","55,877","6,141","6,820","1,324","5,496",199,"4,677","1,001",13,"1,105","2,558",620,"1,251,666","899,555","778,907","430,568","348,339","6,820","1,324","5,496","113,828","110,488","3,340"
07-Dec,"468,604","280,624","43,819",0,"48,547","144,771","33,010","22,747","20,740","187,980","13,568","170,097","45,804",391,"58,442","65,460","4,315","792,328","785,458","431,629","353,829",394,"347,272","101,000","9,033","181,170","159,194","56,069","6,163","6,870","1,349","5,521",197,"4,693","1,014",13,"1,099","2,567",631,"1,260,932","907,502","785,458","431,629","353,829","6,870","1,349","5,521","115,174","111,761","3,413"
08-Jan,"470,826","282,556","43,976",0,"48,519","146,489","33,843","22,983","20,589","188,270","13,501","170,403","45,773",392,"57,806","66,432","4,366","796,556","789,450","428,652","360,798",391,"354,134","101,545","9,052","187,318","165,255","56,219","6,273","7,106","1,411","5,695",196,"4,860","1,026",13,"1,092","2,729",639,"1,267,382","912,632","789,450","428,652","360,798","7,106","1,411","5,695","116,076","112,646","3,430"
08-Feb,"472,724","283,848","44,192",0,"47,927","148,911","34,850","22,431","20,387","188,876","13,439","171,023","46,068",401,"57,212","67,342","4,414","799,115","791,843","430,073","361,770",388,"355,005","101,749","9,180","187,716","166,051","56,360","6,377","7,272","1,411","5,861",194,"5,021","1,040",14,"1,085","2,882",646,"1,271,839","916,696","791,843","430,073","361,770","7,272","1,411","5,861","117,581","114,061","3,520"
08-Mar,"478,613","289,218","44,720",0,"47,920","152,735","36,191","23,368","20,475","189,395","13,372","171,558","46,255",414,"56,575","68,314","4,465","802,451","794,994","429,296","365,698",384,"358,827","101,622","9,071","191,624","170,109","56,510","6,487","7,457","1,431","6,026",192,"5,180","1,043",15,"1,078","3,044",654,"1,281,064","922,695","794,994","429,296","365,698","7,457","1,431","6,026","120,244","116,544","3,700"
08-Apr,"481,786","291,769","45,418",0,"48,025","154,956","36,763","22,825","20,545","190,017","13,542","171,911","46,546",421,"56,571","68,373","4,564","809,495","802,011","433,065","368,946",411,"361,994","101,929","9,193","194,660","173,349","56,212","6,541","7,484","1,438","6,046",181,"5,205","1,051",15,"1,070","3,069",660,"1,291,281","931,529","802,011","433,065","368,946","7,484","1,438","6,046","122,034","118,193","3,841"
08-May,"487,221","296,537","45,535",0,"48,538","157,904","37,509","23,792","20,768","190,684","13,718","172,301","46,881",424,"56,562","68,434","4,665","818,770","811,253","439,359","371,894",438,"364,859","102,916","9,519","196,521","175,497","55,903","6,597","7,517","1,451","6,066",172,"5,229","1,057",15,"1,061","3,096",665,"1,305,991","943,229","811,253","439,359","371,894","7,517","1,451","6,066","124,459","120,395","4,064"
08-Jun,"491,566","300,289","46,001",0,"49,310","160,139","38,083","23,921","20,918","191,277","13,888","172,625","47,146",430,"56,556","68,493","4,764","826,651","819,094","441,016","378,078",467,"370,960","104,032","9,414","201,909","180,944","55,605","6,651","7,557","1,469","6,088",162,"5,255","1,065",16,"1,053","3,121",671,"1,318,217","952,918","819,094","441,016","378,078","7,557","1,469","6,088","126,267","122,056","4,211"
08-Jul,"495,187","303,997","46,391",0,"50,043","162,371","38,549","24,290","20,902","191,190","14,143","172,194","47,292",425,"55,438","69,039","4,853","837,336","829,713","446,334","383,379",474,"376,248","104,931","9,836","205,574","185,167","55,907","6,657","7,623","1,506","6,117",164,"5,277","1,077",16,"1,048","3,136",676,"1,332,523","965,488","829,713","446,334","383,379","7,623","1,506","6,117","128,152","123,822","4,330"
08-Aug,"498,052","306,679","47,443",0,"50,454","164,264","38,935","23,710","20,808","191,373","14,397","172,034","47,687",435,"54,327","69,585","4,942","844,743","837,089","452,122","384,967",480,"377,825","105,571","10,302","205,742","186,120","56,210","6,662","7,654","1,516","6,138",165,"5,293","1,084",17,"1,041","3,151",680,"1,342,795","974,532","837,089","452,122","384,967","7,654","1,516","6,138","129,789","125,329","4,460"
08-Sep,"502,039","310,399","47,529",0,"51,727","166,898","39,471","23,465","20,780","191,640","14,644","171,968","48,169",434,"53,252","70,113","5,028","849,879","842,195","449,345","392,850",485,"385,697","105,914","9,837","213,444","194,218","56,502","6,668","7,684","1,523","6,161",166,"5,310","1,094",17,"1,034","3,165",685,"1,351,918","981,943","842,195","449,345","392,850","7,684","1,523","6,161","132,064","127,427","4,637"
08-Oct,"503,585","313,137","47,834",0,"52,011","169,304","39,830","23,005","20,983","190,448","14,753","170,557","48,233",432,"52,724","69,168","5,138","854,385","846,611","438,472","408,139",490,"400,949","106,697","9,455","228,948","210,032","55,849","6,700","7,774","1,592","6,182",168,"5,324","1,107",17,"1,025","3,175",690,"1,357,970","988,666","846,611","438,472","408,139","7,774","1,592","6,182","134,281","129,474","4,807"
08-Nov,"502,388","312,803","50,761",0,"50,974","171,274","40,059","18,813","20,981","189,585","14,858","169,482","48,586",430,"52,213","68,253","5,245","855,619","847,818","420,555","427,263",488,"420,045","107,030","9,408","248,391","230,017","55,216","6,730","7,801","1,603","6,198",170,"5,333","1,115",17,"1,015","3,186",695,"1,358,007","991,766","847,818","420,555","427,263","7,801","1,603","6,198","136,147","131,215","4,932"
08-Dec,"506,326","317,564","50,668",0,"53,592","173,302","40,330","18,681","21,321","188,762","14,966","168,441","49,020",428,"51,685","67,308","5,355","865,417","857,619","417,212","440,407",502,"433,143","107,696","9,789","261,095","243,484","54,563","6,762","7,798","1,585","6,213",172,"5,341","1,124",17,"1,004","3,196",700,"1,371,743","1,003,465","857,619","417,212","440,407","7,798","1,585","6,213","138,048","132,972","5,076"
09-Jan,"506,464","319,455","50,906",0,"52,852","176,489","41,574","18,420","20,788","187,009","14,945","166,728","49,060",448,"50,603","66,617","5,336","869,729","861,919","419,089","442,830",512,"435,725","107,765","9,687","264,447","246,868","53,826","6,593","7,810","1,566","6,244",182,"5,360","1,126",17,998,"3,219",702,"1,376,193","1,009,774","861,919","419,089","442,830","7,810","1,566","6,244","140,045","134,915","5,130"
09-Feb,"507,960","322,099","51,520",0,"52,212","179,774","42,846","18,298","20,295","185,861","14,926","165,616","49,519",471,"49,632","65,994","5,319","873,219","865,379","417,570","447,809",516,"440,854","107,892","9,394","270,409","252,923","53,159","6,439","7,840","1,564","6,276",191,"5,381","1,130",18,994,"3,239",704,"1,381,179","1,015,356","865,379","417,570","447,809","7,840","1,564","6,276","142,137","136,928","5,209"
09-Mar,"511,107","326,618","52,009",0,"52,030","184,165","44,373","18,505","19,909","184,489","14,905","164,284","49,947",494,"48,540","65,303","5,300","875,462","867,602","409,668","457,934",519,"451,145","108,016","9,375","281,332","263,855","52,422","6,270","7,860","1,555","6,305",201,"5,398","1,132",17,987,"3,262",706,"1,386,569","1,020,637","867,602","409,668","457,934","7,860","1,555","6,305","145,175","139,792","5,383"
09-Apr,"514,039","330,476","52,455",0,"52,531","186,927","45,274","18,370","20,193","183,563","14,914","163,341","50,076",486,"47,881","64,898","5,308","882,871","874,986","412,518","462,468",513,"455,695","108,705","9,480","285,088","268,081","52,422","6,260","7,885","1,555","6,330",202,"5,416","1,133",17,986,"3,280",712,"1,396,910","1,030,031","874,986","412,518","462,468","7,885","1,555","6,330","147,160","141,653","5,507"
09-May,"519,477","336,557","53,180",0,"53,374","191,064","46,510","18,324","20,615","182,920","14,923","162,682","50,522",477,"47,204","64,479","5,315","887,276","879,375","416,423","462,952",509,"456,194","109,311","9,679","284,781","268,301","52,423","6,249","7,901","1,551","6,350",202,"5,429","1,133",16,982,"3,298",719,"1,406,753","1,037,612","879,375","416,423","462,952","7,901","1,551","6,350","150,336","144,554","5,782"
09-Jun,"524,955","342,863","54,158",0,"53,900","195,301","47,778","18,453","21,051","182,092","14,932","161,837","50,735",480,"46,548","64,074","5,323","894,597","886,691","419,965","466,726",505,"459,982","110,545","9,815","287,199","271,193","52,423","6,239","7,906","1,536","6,370",203,"5,442","1,132",16,978,"3,316",725,"1,419,552","1,048,120","886,691","419,965","466,726","7,906","1,536","6,370","153,523","147,523","6,000"
09-Jul,"527,629","346,186","54,775",0,"53,953","198,295","48,505","18,280","20,883","181,443","15,185","161,074","50,900",594,"45,921","63,659","5,184","904,869","896,940","425,643","471,297",500,"464,571","111,408","10,087","290,530","275,071","52,546","6,226","7,929","1,545","6,384",204,"5,449","1,139",16,974,"3,320",731,"1,432,498","1,060,770","896,940","425,643","471,297","7,929","1,545","6,384","155,901","149,790","6,111"
09-Aug,"531,242","350,024","55,360",0,"54,214","201,310","49,234","18,402","20,738","181,218","15,437","160,736","51,488",709,"45,295","63,244","5,045","909,324","901,399","430,881","470,518",495,"463,811","111,848","10,056","289,238","274,403","52,669","6,212","7,925","1,536","6,389",205,"5,448","1,140",16,967,"3,325",736,"1,440,566","1,067,639","901,399","430,881","470,518","7,925","1,536","6,389","158,315","152,076","6,239"
09-Sep,"535,055","354,241","55,960",0,"55,269","204,074","49,898","18,331","20,607","180,814","15,682","160,222","51,863",827,"44,689","62,843","4,910","915,839","907,882","434,227","473,655",489,"466,967","112,551","10,042","291,586","277,361","52,788","6,199","7,957","1,560","6,397",206,"5,449","1,146",16,958,"3,329",742,"1,450,894","1,076,413","907,882","434,227","473,655","7,957","1,560","6,397","160,574","154,176","6,398"
09-Oct,"540,936","360,981","56,686",0,"55,357","206,665","50,549","21,362","20,911","179,955","15,782","159,165","52,008",965,"43,840","62,352","5,008","923,306","915,328","438,234","477,094",484,"470,474","112,817","9,998","295,111","281,379","52,548","6,136","7,978","1,569","6,409",207,"5,455","1,147",15,950,"3,343",747,"1,464,242","1,085,994","915,328","438,234","477,094","7,978","1,569","6,409","162,688","156,116","6,572"
09-Nov,"542,944","363,716","55,594",0,"55,271","208,694","51,059","23,176","20,981","179,228","15,879","158,246","52,253","1,097","43,019","61,877","5,103","927,368","919,377","440,124","479,253",480,"472,698","113,430","9,887","297,065","283,843","52,316","6,075","7,991","1,563","6,428",208,"5,468","1,156",15,941,"3,356",752,"1,470,312","1,091,692","919,377","440,124","479,253","7,991","1,563","6,428","164,324","157,635","6,689"
09-Dec,"546,116","367,664","55,793",0,"57,169","210,711","51,578","22,872","21,119","178,452","15,979","157,272","52,462","1,243","42,181","61,386","5,201","934,236","926,228","445,569","480,659",475,"474,172","113,628","10,172","298,296","285,610","52,076","6,012","8,008","1,558","6,450",209,"5,484","1,168",15,931,"3,370",757,"1,480,352","1,100,159","926,228","445,569","480,659","8,008","1,558","6,450","165,923","159,133","6,790"
10-Jan,"544,436","368,106","55,819",0,"56,434","212,056","51,900","22,795","21,002","176,330","15,972","154,572","52,207","1,372","41,843","59,150","5,786","937,793","929,762","448,577","481,185",471,"474,743","113,977","10,301","298,945","285,749","51,520","5,971","8,031","1,558","6,473",209,"5,509","1,174",15,942,"3,378",755,"1,482,229","1,104,800","929,762","448,577","481,185","8,031","1,558","6,473","167,007","160,156","6,851"
10-Feb,"544,155","369,436","56,036",0,"55,736","213,773","52,315","22,956","20,935","174,719","15,965","152,439","52,275","1,500","41,534","57,130","6,315","942,398","934,309","453,174","481,135",466,"474,736","114,503","10,328","298,888","285,235","51,017","5,933","8,089","1,589","6,500",211,"5,537","1,185",16,950,"3,386",752,"1,486,553","1,110,831","934,309","453,174","481,135","8,089","1,589","6,500","168,433","161,458","6,975"
10-Mar,"544,762","371,802","56,617",0,"55,178","216,087","52,859","22,995","20,925","172,960","15,958","150,102","52,380","1,630","41,198","54,894","6,900","945,569","937,453","454,325","483,128",461,"476,775","115,290","10,192","300,832","286,689","50,461","5,892","8,116","1,596","6,520",212,"5,558","1,189",16,959,"3,394",750,"1,490,331","1,115,978","937,453","454,325","483,128","8,116","1,596","6,520","170,409","163,228","7,181"
10-Apr,"546,399","374,157","57,366",0,"56,054","216,461","52,713","22,920","21,356","172,242","15,967","149,386","52,240","1,812","40,434","54,900","6,889","952,132","944,002","458,809","485,193",453,"478,773","116,244","10,325","301,735","287,990","50,469","5,967","8,130","1,604","6,526",211,"5,564","1,189",16,953,"3,406",751,"1,498,531","1,123,184","944,002","458,809","485,193","8,130","1,604","6,526","171,052","163,748","7,304"
