M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
01-Feb,"246,744","143,030","39,379",0,"19,235","41,062","9,500","26,722","16,632","103,714","1,857","99,495","27,777",718,"35,270","35,730","2,362","423,563","419,429","257,852","161,577",247,"155,345","54,742","4,941","50,967","32,514","44,695","5,985","4,134",903,"3,231",122,"2,623",521,3,168,"1,931",486,"670,307","455,178","419,429","257,852","161,577","4,134",903,"3,231","31,615","31,562",53
01-Mar,"247,592","143,838","40,050",0,"19,200","42,159","9,561","25,760","16,669","103,754","1,989","99,403","27,926",763,"35,108","35,606","2,362","424,684","420,503","258,641","161,862",247,"155,248","54,893","4,978","50,757","32,748","44,620","6,367","4,181",900,"3,281",123,"2,659",540,3,167,"1,949",499,"672,276","457,362","420,503","258,641","161,862","4,181",900,"3,281","32,678","32,598",80
01-Apr,"248,305","143,568","39,829",0,"19,663","42,429","9,588","25,039","16,608","104,737","2,101","100,297","27,715",691,"35,933","35,958","2,339","425,937","421,726","260,141","161,585",238,"154,921","54,916","5,078","50,826","33,107","44,101","6,426","4,211",897,"3,314",119,"2,693",542,3,177,"1,971",502,"674,242","458,896","421,726","260,141","161,585","4,211",897,"3,314","32,959","32,841",118
01-May,"249,634","143,664","39,769",0,"20,285","42,073","9,475","24,951","16,586","105,970","2,218","101,438","27,707",623,"36,785","36,323","2,314","428,488","424,252","263,159","161,093",229,"154,376","55,151","5,215","50,446","33,160","43,564","6,488","4,236",886,"3,350",114,"2,730",545,3,187,"1,995",506,"678,122","461,205","424,252","263,159","161,093","4,236",886,"3,350","32,717","32,598",119
01-Jun,"252,001","144,904","39,747",0,"21,129","42,423","9,520","24,906","16,699","107,097","2,330","102,476","27,640",550,"37,611","36,675","2,291","431,725","427,457","266,006","161,451",221,"154,683","55,635","4,970","51,033","33,871","43,045","6,547","4,268",883,"3,385",110,"2,766",550,3,196,"2,017",509,"683,726","464,790","427,457","266,006","161,451","4,268",883,"3,385","33,065","32,903",162
01-Jul,"253,409","145,423","39,890",0,"20,759","43,159","9,885","24,715","16,900","107,986","2,469","103,275","28,391",545,"37,378","36,961","2,242","434,985","430,719","269,031","161,688",219,"154,956","55,820","5,023","51,070","33,964","43,043","6,513","4,266",884,"3,382",109,"2,763",551,3,203,"2,006",510,"688,394","468,453","430,719","269,031","161,688","4,266",884,"3,382","33,468","33,274",194
01-Aug,"255,232","146,304","39,872",0,"21,688","43,576","10,181","24,026","17,142","108,928","2,608","104,127","29,193",542,"37,144","37,248","2,193","437,046","432,791","271,642","161,149",217,"154,453","56,192","5,069","50,152","33,392","43,040","6,479","4,255",877,"3,378",108,"2,760",553,3,210,"1,994",510,"692,278","470,647","432,791","271,642","161,149","4,255",877,"3,378","33,601","33,395",206
01-Sep,"257,847","147,965","39,937",0,"22,721","44,388","10,573","23,442","17,477","109,882","2,743","104,993","30,014",536,"36,918","37,525","2,146","439,533","435,288","274,790","160,498",215,"153,837","56,377","5,108","49,314","32,875","43,038","6,446","4,245",871,"3,374",107,"2,756",554,3,216,"1,983",511,"697,380","473,590","435,288","274,790","160,498","4,245",871,"3,374","34,057","33,815",242
01-Oct,"258,349","147,236","39,953",0,"22,648","44,824","10,848","22,601","17,210","111,113","2,903","105,994","30,600",466,"37,298","37,630","2,216","441,025","436,766","275,682","161,084",213,"154,529","56,584","5,094","49,672","33,413","43,179","6,342","4,259",882,"3,377",106,"2,761",559,3,222,"1,977",510,"699,374","475,255","436,766","275,682","161,084","4,259",882,"3,377","34,230","33,976",254
01-Nov,"259,320","147,438","39,626",0,"22,880","45,549","11,196","22,325","17,058","111,882","3,057","106,541","30,737",405,"37,666","37,733","2,284","443,960","439,700","277,789","161,911",211,"155,460","57,188","5,136","49,821","33,807","43,315","6,240","4,260",881,"3,379",105,"2,765",563,3,229,"1,970",509,"703,280","478,595","439,700","277,789","161,911","4,260",881,"3,379","34,635","34,353",282
