AGE,KIDS,NET WORTH,INCOME,MARRIAGE,TRUE RISK TOLERANCE,RISK TOLERANCE SCORE
59,0,781461.98563,100107.7727,1,3.0006807000298306,Very Low Risk
59,0,792853.55976,100107.7727,1,3.0006807000298306,Very Low Risk
59,0,794924.75506,100107.7727,1,3.0006807000298306,Very Low Risk
59,0,787675.57152,100107.7727,1,3.0006807000298306,Very Low Risk
46,0,383564.65709,234294.78716,1,16.55225549480896,Moderate Risk
45,1,735274.3305,160811.4221,2,11.260326909176666,Low Risk
45,1,644866.65578,178916.01929,2,11.834347571642107,Low Risk
88,0,947571.84847,37274.170685,2,4.981339285714286,Very Low Risk
88,0,947571.84847,37274.170685,2,4.891339285714286,Very Low Risk
88,0,947571.84847,37274.170685,2,4.688839285714286,Very Low Risk
56,1,759610.87524,113952.46467,1,2.242252691734909,Very Low Risk
56,1,760646.47289,112887.48836,1,2.2337939751033487,Very Low Risk
56,1,759507.31548,113952.46467,1,2.241513156008987,Very Low Risk
56,1,759714.43501,113952.46467,1,2.242308842763564,Very Low Risk
56,1,758678.83736,113952.46467,1,2.241368409239658,Very Low Risk
51,2,1831972.2404,238554.69239,1,5.71334673038288,Very Low Risk
51,2,1823687.4592,238554.69239,1,5.724935916180197,Very Low Risk
51,2,1837150.2286,238554.69239,1,5.724935916180197,Very Low Risk
51,2,1855790.9863,238554.69239,1,5.724935916180197,Very Low Risk
51,2,1847506.2051,238554.69239,1,5.724935916180197,Very Low Risk
44,2,2828838.5369,232164.83455,1,4.305355599760117,Very Low Risk
63,0,86023989.876,5090586.7393,1,1.6382465392053125,Very Low Risk
63,0,71354749.184,5079936.9762,1,1.8142389884285883,Very Low Risk
63,0,73918888.961,5079936.9762,1,1.861351881264918,Very Low Risk
63,0,69879022.534,5090586.7393,1,1.8696637413144708,Very Low Risk
63,0,74538176.355,5079936.9762,1,1.76207371938682,Very Low Risk
47,3,14438302.417,1331220.3816,1,14.41643929260866,Low Risk
